DATE,CLVMNACSCAB1GQES
1995-01-01,711968.0
1996-01-01,730910.0
1997-01-01,757972.7
1998-01-01,791272.6
1999-01-01,826804.5
2000-01-01,870176.7
2001-01-01,904401.4
2002-01-01,929100.8
2003-01-01,956805.6
2004-01-01,986683.6
2005-01-01,1022718.6
2006-01-01,1064679.0
2007-01-01,1103057.3
2008-01-01,1112842.0
2009-01-01,1070964.3
2010-01-01,1072709.0
2011-01-01,1063972.2
2012-01-01,1032486.4
2013-01-01,1017664.2
2014-01-01,1031747.8
2015-01-01,1071318.1
2016-01-01,1103793.0
2017-01-01,1136615.9
2018-01-01,1162630.6
2019-01-01,1186874.7
2020-01-01,1058419.6
