DATE,CLVMNACSCAB1GQIT
1995-01-01,1412032.0
1996-01-01,1428127.2
1997-01-01,1455922.6
1998-01-01,1479853.6
1999-01-01,1503117.7
2000-01-01,1564164.7
2001-01-01,1591906.4
2002-01-01,1595878.8
2003-01-01,1599468.8
2004-01-01,1618965.6
2005-01-01,1635222.4
2006-01-01,1665994.3
2007-01-01,1688345.2
2008-01-01,1672045.0
2009-01-01,1583145.0
2010-01-01,1609589.6
2011-01-01,1623229.2
2012-01-01,1574304.5
2013-01-01,1545035.9
2014-01-01,1546148.4
2015-01-01,1556308.7
2016-01-01,1578162.5
2017-01-01,1605544.4
2018-01-01,1618415.0
2019-01-01,1625012.6
2020-01-01,1478785.5
